"dataset","region","estimand","scale","method","variant","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.1,15,15,47,31,28,75,78,0.602564102564103,0.626666666666667,0.61437908496732,0.236825354957733,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.25,15,15,15,63,60,75,78,0.192307692307692,0.2,0.196078431372549,0.379913176341278,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.5,15,15,3,75,72,75,78,0.0384615384615385,0.04,0.0392156862745098,0.612121212121212,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,47,38,28,75,85,0.552941176470588,0.626666666666667,0.5875,0.242305690225302,0,0.223529411764706
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,16,69,59,75,85,0.188235294117647,0.213333333333333,0.2,0.387418602819948,0,0.223529411764706
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,4,81,71,75,85,0.0470588235294118,0.0533333333333333,0.05,0.584090909090909,0,0.223529411764706
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495576,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586268,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","harmonized_4_spikes",0.1,15,15,58,26,17,75,84,0.69047619047619,0.773333333333333,0.729559748427673,0.447762358495576,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,37,28,75,84,0.55952380952381,0.626666666666667,0.591194968553459,0.508914510004875,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","harmonized_4_spikes",0.5,15,15,26,58,49,75,84,0.30952380952381,0.346666666666667,0.327044025157233,0.648240114586268,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.1,15,15,66,29,9,75,95,0.694736842105263,0.88,0.776470588235294,0.71204266441838,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.25,15,15,56,39,19,75,95,0.589473684210526,0.746666666666667,0.658823529411765,0.808563138250638,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.5,15,15,51,44,24,75,95,0.536842105263158,0.68,0.6,0.856882551000198,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,74,49,1,75,123,0.601626016260163,0.986666666666667,0.747474747474748,0.759009153019926,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,67,56,8,75,123,0.544715447154472,0.893333333333333,0.676767676767677,0.821869403399254,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,61,62,14,75,123,0.495934959349593,0.813333333333333,0.616161616161616,0.867346769805786,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495576,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586268,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","harmonized_4_spikes",0.1,15,15,58,26,17,75,84,0.69047619047619,0.773333333333333,0.729559748427673,0.447762358495576,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,37,28,75,84,0.55952380952381,0.626666666666667,0.591194968553459,0.508914510004875,0,0.178571428571429
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","harmonized_4_spikes",0.5,15,15,26,58,49,75,84,0.30952380952381,0.346666666666667,0.327044025157233,0.648240114586268,0,0.178571428571429
