"dataset","region","estimand","scale","method","iou_threshold","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.1,"precision",0.533333333333333,0.458723116258084,0.626373626373626,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.1,"recall",0.788732394366197,0.73972602739726,0.835820895522388,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.1,"f1",0.636363636363636,0.580645161290323,0.697142857142857,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.25,"precision",0.447619047619048,0.380962469733656,0.53763440860215,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.25,"recall",0.661971830985915,0.575342465753425,0.75,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.25,"f1",0.534090909090909,0.467391304347826,0.611111111111111,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.5,"precision",0.257142857142857,0.224322219415677,0.287128712871287,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.5,"recall",0.380281690140845,0.315865751334859,0.453125,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI",0.5,"f1",0.306818181818182,0.268310512052489,0.33879781420765,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.1,"precision",0.43030303030303,0.389205222171324,0.470578496299182,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.1,"recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.1,"f1",0.601694915254237,0.560327892189428,0.639990990990991,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.25,"precision",0.424242424242424,0.38420270796805,0.462013145082765,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.25,"recall",0.985915492957746,0.956521739130435,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.25,"f1",0.593220338983051,0.552309513323057,0.63013698630137,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.5,"precision",0.393939393939394,0.350289791544905,0.441544325239977,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.5,"recall",0.915492957746479,0.84732545045045,0.971830985915493,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD",0.5,"f1",0.550847457627119,0.5,0.603430562116202,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.1,"precision",0.947368421052632,0.833333333333333,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.1,"recall",0.24,0.146666666666667,0.333333333333333,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.1,"f1",0.382978723404255,0.252873563218391,0.495049504950495,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.25,"precision",0.947368421052632,0.833333333333333,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.25,"recall",0.24,0.146666666666667,0.333333333333333,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.25,"f1",0.382978723404255,0.252873563218391,0.495049504950495,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.5,"precision",0.947368421052632,0.833333333333333,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.5,"recall",0.24,0.146666666666667,0.333333333333333,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD",0.5,"f1",0.382978723404255,0.252873563218391,0.495049504950495,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI",0.1,"precision",0.568627450980392,0.504426771904648,0.631578947368421,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI",0.1,"recall",0.773333333333333,0.733333333333333,0.8,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI",0.1,"f1",0.655367231638418,0.606406650328618,0.698780922506594,1000,"Template_ID"
